# TR_COL	1
# GENE_COL	1
# EXP	Astrocyte	2
# EXP	Neuron	6
# EXP	OPC	8
# EXP	NFO	7
# EXP	MO	5
# EXP	Microglia	4
# EXP	Endothelial	3
# END
2810403A07Rik	42.7	25.2	22.1	13.8	4.2	5	21.8
2810405K02Rik	2.9	14.4	20.1	48.8	37.9	32.1	2.9
2810407C02Rik	33.8	41.2	63.7	71.9	25.2	12.5	59.6
2810408M09Rik	7.3	5.6	9.8	4.5	5.4	10.4	5.2
2810410L24Rik	1.9	2.3	4	6.9	3.5	0.1	1.1
2810417H13Rik	0.7	0.5	3.5	0.2	0.1	0.4	3.5
2810422J05Rik	9.7	9.7	12.7	12	12	14.7	18.9
2810428I15Rik	13.7	25.2	39.4	27.9	35.1	32.3	42.3
2810432D09Rik	16.4	15.3	28.3	10.6	7.4	38.1	8
2810432L12Rik	13.7	14.7	20	8.2	6.9	0.9	3.5
2810453I06Rik	9.8	22.2	13	7.5	5.2	9.2	10
2810459M11Rik	18.7	2.2	10.8	2.7	0.2	0.3	0.2
2810474O19Rik	4.9	1.7	2.9	0.8	0.1	0.8	2
2900005J15Rik	3.6	0.1	0.3	0.1	0.1	0.2	0.1
2900010M23Rik	11.3	28.5	42.8	33.6	33.8	35.5	54.3
2900011O08Rik	2	64.3	48.5	34.8	18.9	3.9	0.8
2900026A02Rik	2.1	4.5	0.9	0.2	0.6	7	15.5
2900052N01Rik	3.8	0.1	0.5	0.1	0.1	0.1	0.1
2900053A13Rik	2.7	2.7	5.1	7.8	9.5	4.8	9.3
2900056M20Rik	0.8	2.6	0.9	0.6	0.3	0.2	0.2
2900060B14Rik	0.7	0.2	0.1	0.6	0.2	3.4	0.8
2900064A13Rik	62.4	40.9	73.2	123	113.4	37	67.6
2900073G15Rik	22.8	9.5	23.5	18.7	13.6	98.9	407.4
2900079G21Rik	0.8	4.4	5.2	2.3	0.6	0.6	0.1
2900092D14Rik	31.4	12.1	13	4.2	1.3	0.1	0.1
2900092E17Rik	17.1	17.4	16.6	12.8	15.1	15.1	11.1
2900097C17Rik	43	108.9	51.3	40.7	39.9	20.9	16.5
