	cherry1	cherry2	gallium1	gallium2
Mca00908	2	9	2	8
Mca00909	1029	1286	1313	1576
Mca00910	459	559	545	603
Mca00911	322	497	566	568
Mca00912	571	675	782	906
Mca00913	0	0	2	1
Mca00914	0	0	0	0
Mca00915	0	0	0	0
Mca00916	0	0	0	0
Mca00917	0	0	0	0
Mca00918	0	0	0	0
Mca00919	326	595	844	1011
Mca00920	38	92	85	152
Mca00921	350	440	414	472
Mca00922	8	36	36	19
Mca00923	0	0	2	4
Mca00924	5	17	17	22
Mca00925	2	7	8	9
Mca00926	2	7	9	9
Mca00927	14	30	9	9
Mca00928	4542	7432	5343	5936
Mca00929	1822	2562	1817	1748
Mca00930	33	39	47	54
Mca00931	75	131	196	189
Mca00932	6	23	9	16
Mca00933	1415	1794	1268	1609
Mca00934	529	693	617	771
Mca00935	1653	1863	2155	2672
Mca00936	854	1145	1050	1091
Mca00937	16624	21080	18025	23935
Mca00938	751	1070	1195	1664
Mca00939	7559	9962	5480	7517
Mca00940	32	53	78	83
Mca00941	1152	1479	1509	1646
Mca00942	34	46	31	49
Mca00943	103	221	88	141
Mca00944	46	89	95	91
Mca00945	471	684	1161	1455
Mca00946	3	21	18	25
Mca00947	1085	1453	1507	1949
Mca00948	0	0	0	0
Mca00949	0	0	27	23
